ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Your name,What is the date and time of collection?,Where are you recording the point?,"Are there no crops (fallow or pasture), one crop, or multiple crops growing in the field?",Which crop(s) are present in the field?,Other - Which crop(s) are present in the field?,"[OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?","Other - [OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?",[OPTIONAL] Additional notes,x,y
1,91f4ba6f-7786-4fc9-b173-d13f2bd95228,1/10/2023 20:11,NASAHarvest_UofMD,1/10/2023 20:11,NASAHarvest_UofMD,Ivan Z,1/10/2023 20:04,On the edge of the field,Fallow,,,,,,-111.9266378,33.36837422
2,e0390d4d-8cdf-4651-b377-e5037dd7f5d6,1/17/2023 17:45,NASAHarvest_UofMD,1/17/2023 17:45,NASAHarvest_UofMD,Hannah Kerner ,,On the edge of the field,Multiple crops,"niu_(coconut),pineapple",,,,,-111.9267148,33.36842177
3,c68383f6-69d5-4fc9-bb4b-fd27e7fe105d,1/17/2023 18:52,NASAHarvestCollector_UofMD,1/17/2023 18:52,NASAHarvestCollector_UofMD,Hannah,,Inside the field,One crop,`ulu_(breadfruit),,,,,-111.9267315,33.36839443
4,ec1491e5-2199-46ad-8423-25115326e2d2,1/17/2023 18:52,NASAHarvestCollector_UofMD,1/17/2023 18:52,NASAHarvestCollector_UofMD,Hannah,,Inside the field,One crop,mai`a_(banana),,,,,-111.9267301,33.36837429
5,66e0706a-cf80-49f6-92a3-e788bc1d003f,1/17/2023 21:10,NASAHarvestCollector_UofMD,1/17/2023 21:10,NASAHarvestCollector_UofMD,Gabriel Tseng,,On the edge of the field,Pasture,,,,,,-156.3435614,20.88313467
6,eab874b9-5226-439d-a612-0114bcbe0af3,1/18/2023 20:29,NASAHarvestCollector_UofMD,1/18/2023 20:29,NASAHarvestCollector_UofMD,akw,,On the edge of the field,Fallow,,,,,,-105.1596493,39.95249378
7,3daa0079-e7a8-4c2c-ac6e-041b115990d1,1/21/2023 13:23,NASAHarvestCollector_UofMD,1/21/2023 13:23,NASAHarvestCollector_UofMD,Catherine Nakalembe,,On the edge of the field,Fallow,other,Nothing ,,,,32.46762773,0.055529165
8,5d663805-8bcd-494b-ac4d-c90451fc054f,1/24/2023 21:56,,1/24/2023 21:56,,Jacob Adler,,On the edge of the field,Pasture,other,Ryegrass,,,Test point,-111.9264688,33.36836405
9,82660edd-6f00-456a-8b99-6bc8616636be,1/25/2023 23:58,,1/25/2023 23:58,,Jacob Adler,,On the edge of the field,Pasture,other,Ryegrass and dormant fig tree,,,,-111.9264852,33.36832927
10,794b6ff3-a692-428c-8b41-336ff5855639,1/27/2023 2:27,NASAHarvestCollector_UofMD,1/27/2023 2:27,NASAHarvestCollector_UofMD,Gabriel Tseng,,On the edge of the field,Pasture,,,,,,-156.3432925,20.88317591
11,625c7ec8-7712-4cf2-9c95-ec3c27ebaae8,1/28/2023 6:36,,1/28/2023 6:36,,H,,Inside the field,One crop,"kalo_(taro),mai`a_(banana)",,kalo (taro),,Lots of dog toys ,-111.9266513,33.36838096
12,0053defd-2e03-4442-adf8-388b93150d45,1/28/2023 6:37,,1/28/2023 6:37,,Kerner,,Inside the field,One crop,kalo_(taro),,,,Farmer noted that the taro ponds have been water scarce,-111.9266516,33.3683901
13,b03ab5d8-e170-48ed-8edd-966a3bdd2d38,1/28/2023 23:57,,1/28/2023 23:57,,Nicolette van der Lee,,On the edge of the field,One crop,other,test,,,,-156.4798477,20.88965789
14,31dc8a65-6642-4169-b3b4-0ef27307f5ab,1/29/2023 0:00,,1/29/2023 0:00,,Nick adams ,,On the edge of the field,Fallow,other,,,,Test point ,-156.4973372,20.91196986
15,8bd113b1-34d7-4a7a-bf0d-4cfad6bb98cc,1/29/2023 0:17,,1/29/2023 0:17,,Jeffrey wayer,,On the edge of the field,One crop,kalo_(taro),,,,Kalo garden App test,-156.4799549,20.8919681
16,5702945b-213d-4683-a76f-8b4155efeba5,1/29/2023 0:17,,1/29/2023 0:17,,Hannah Kerner ,,On the edge of the field,One crop,mai`a_(banana),,,,,-156.4798632,20.89232088
17,2aaa14ba-2694-445d-bd7d-686124e60a7d,1/29/2023 0:17,,1/29/2023 0:17,,Paige Moffitt,,On the edge of the field,One crop,kalo_(taro),,,,,-156.4799991,20.89198382
18,466f8fdc-71ae-43ac-bce1-a671ba9b0d5a,1/29/2023 0:18,,1/29/2023 0:18,,Dylan Bowen ,,On the edge of the field,Multiple crops,"kalo_(taro),`ulu_(breadfruit),mai`a_(banana),`uala_(sweet_potato),niu_(coconut),coffee,pineapple,macadamia_nut,tropical_fruits,avocado,sugarcane,other",All of them ,,,,-156.4799609,20.89254224
19,8491689b-288b-4015-a9ef-90fcb0d998fe,1/29/2023 0:20,,1/29/2023 0:20,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,other,Turmeric and an avocado tree,other,Turmeric,,-156.4798023,20.89228415
20,619d2d43-9fc0-4ac1-b5d7-56463f5425d3,1/29/2023 0:20,,1/29/2023 0:20,,Joshua D Hinau - Nanod,,Inside the field,One crop,mai`a_(banana),,,,,-156.4798674,20.89232026
21,027c6aa8-5e7e-48f2-a78d-4c8941b485e2,1/29/2023 0:20,,1/29/2023 0:20,,jerry isdale,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),kalo_(taro),tropical_fruits",,,,,-156.48004,20.89189813
22,6db048ec-db35-4bd4-9bc4-ce8195fb10fb,1/29/2023 0:21,,1/29/2023 0:21,,Sean McCormick,,On the edge of the field,Multiple crops,"kalo_(taro),`ulu_(breadfruit),other",,kalo (taro),,,-156.4800223,20.89191992
23,181ef3e3-d773-4adb-ba74-49d5a4f7ddc8,1/29/2023 0:21,,1/29/2023 0:21,,Rohan Fahland,,On the edge of the field,Multiple crops,"`uala_(sweet_potato),other",Noni ,other,Noni,,-156.4798288,20.89236842
24,9fca3b34-a83e-4bb1-bbc0-97dd2c864cb4,1/29/2023 0:23,,1/29/2023 0:23,,Anna Galbreath ,,Inside the field,Multiple crops,"`ulu_(breadfruit),tropical_fruits,`uala_(sweet_potato),mai`a_(banana),kalo_(taro),other","Lemongrass, tea leaf, oranges, rest unknown",not applicable,,Nice garden,-156.4798237,20.89247097
25,0b944c01-8b92-4a6f-b0a5-a3420e118f0a,1/29/2023 0:23,,1/29/2023 0:23,,Hannah Kerner ,,On the edge of the field,Multiple crops,"kalo_(taro),`uala_(sweet_potato)",,other,Sweet potato,,-156.479824,20.89223833
26,77ab0804-b7a8-440b-a1b8-df46bb9a1d65,1/29/2023 0:26,,1/29/2023 0:26,,Jacob Adler,,On the edge of the field,Multiple crops,other,Garden at Maui College,,,,-156.4798987,20.89222874
27,59eab3b2-b242-4c28-9788-6a3259b0425a,1/29/2023 0:27,,1/29/2023 0:27,,Hannah Kerner ,,On the edge of the field,One crop,other,Pumpkin ,,,Very small plot,-156.4798395,20.89245772
28,1cc9a5cf-16b3-4584-805d-db46f710bbf9,1/29/2023 0:32,,1/29/2023 0:32,,Anna Galbreath,,Inside the field,Multiple crops,"`ulu_(breadfruit),mai`a_(banana),`uala_(sweet_potato),tropical_fruits,other","Lemongrass, cucumber, tea leaf, oranges, rest unknown",not applicable,,Nice garden,-156.4798387,20.89227351
29,22d2545f-c927-41fe-900d-f42301e69218,1/29/2023 0:36,,1/29/2023 0:36,,Brigette Tomas ,,Inside the field,Multiple crops,"`ulu_(breadfruit),mai`a_(banana),`uala_(sweet_potato),tropical_fruits,other,niu_(coconut),kalo_(taro)","Citrus, Ti Leaf",,,,-156.4798417,20.89231538
30,86242134-8ebc-4add-9906-4065048600c9,1/30/2023 3:55,,1/30/2023 3:55,,Dylan Bowen ,,On the edge of the field,Pasture,,,,,,-156.3259376,20.76698545
31,ba2fd34e-9777-4f09-ac59-d761aa2675f4,1/31/2023 4:04,NASAHarvestCollector_UofMD,1/31/2023 4:04,NASAHarvestCollector_UofMD,Gabriel Tseng,,Inside the field,Multiple crops,other,,,,Jackfruit,-156.3024477,20.91428287
32,5e2ad245-fab8-4d86-8e11-d0b7f40c7005,2/4/2023 1:23,,2/4/2023 1:23,,Hannah,,On the edge of the field,Multiple crops,other,"Okasanta, ginger etc",,,,-156.2406524,20.91443917
33,bb604a1c-af57-492a-bf2c-5d69413f9879,2/4/2023 1:24,,2/4/2023 1:24,,Hannah,,On the edge of the field,Multiple crops,other,Cashew,,,,-156.241201,20.9144403
34,aba564b4-425a-43f2-8fbd-a5571a3ee3d9,2/4/2023 1:24,,2/4/2023 1:24,,Hannah Kerner,,On the edge of the field,One crop,mai`a_(banana),,,,Small,-156.3568385,20.70524431
35,8d087042-37da-4944-be89-1298247a5c64,2/4/2023 1:24,,2/4/2023 1:24,,Hannah,,On the edge of the field,One crop,kalo_(taro),,,,,-156.5006111,20.8248062
36,32633931-cdef-45de-801e-f8a04fe2b8f6,2/4/2023 1:24,,2/4/2023 1:24,,Hannah,,Inside the field,One crop,kalo_(taro),,,,,-156.5004664,20.82963007
37,3abc8f10-8c24-4214-ba15-127751cc1ddc,2/4/2023 1:24,,2/4/2023 1:24,,Hannah,,On the edge of the field,One crop,kalo_(taro),,,,,-156.1370182,20.84118649
